CID;Descrição CID;Classificação Final (2025)
C00;Neoplasia maligna do lábio;CR Tumores da Cabeça e Pescoço
C000;Neoplasia maligna do lábio superior externo;CR Tumores da Cabeça e Pescoço
C001;Neoplasia maligna do lábio inferior externo;CR Tumores da Cabeça e Pescoço
C002;Neoplasia maligna do lábio externo, não especificado;CR Tumores da Cabeça e Pescoço
C003;Neoplasia maligna do lábio superior, face interna;CR Tumores da Cabeça e Pescoço
C004;Neoplasia maligna do lábio inferior, face interna;CR Tumores da Cabeça e Pescoço
C005;Neoplasia maligna do lábio, sem especificação, face interna;CR Tumores da Cabeça e Pescoço
C006;Neoplasia maligna da comissura labial;CR Tumores da Cabeça e Pescoço
C008;Neoplasia maligna do lábio com lesão invasiva;CR Tumores da Cabeça e Pescoço
C009;Neoplasia maligna do lábio, não especificado;CR Tumores da Cabeça e Pescoço
C01;Neoplasia maligna da base da língua;CR Tumores da Cabeça e Pescoço
C02;Neoplasia maligna de outras partes e de partes não especificadas da língua;CR Tumores da Cabeça e Pescoço
C020;Neoplasia maligna da face dorsal da língua;CR Tumores da Cabeça e Pescoço
C021;Neoplasia maligna da borda da língua;CR Tumores da Cabeça e Pescoço
C022;Neoplasia maligna da face ventral da língua;CR Tumores da Cabeça e Pescoço
C023;Neoplasia maligna de dois terços anteriores da língua, parte não especificada;CR Tumores da Cabeça e Pescoço
C024;Neoplasia maligna da amígdala lingual;CR Tumores da Cabeça e Pescoço
C028;Neoplasia maligna da língua com lesão invasiva;CR Tumores da Cabeça e Pescoço
C029;Neoplasia maligna da língua, não especificada;CR Tumores da Cabeça e Pescoço
C03;Neoplasia maligna da gengiva;CR Tumores da Cabeça e Pescoço
C030;Neoplasia maligna da gengiva superior;CR Tumores da Cabeça e Pescoço
C031;Neoplasia maligna da gengiva inferior;CR Tumores da Cabeça e Pescoço
C039;Neoplasia maligna da gengiva, não especificada;CR Tumores da Cabeça e Pescoço
C04;Neoplasia maligna do assoalho da boca;CR Tumores da Cabeça e Pescoço
C040;Neoplasia maligna do assoalho anterior da boca;CR Tumores da Cabeça e Pescoço
C041;Neoplasia maligna do assoalho lateral da boca;CR Tumores da Cabeça e Pescoço
C048;Neoplasia maligna do assoalho da boca com lesão invasiva;CR Tumores da Cabeça e Pescoço
C049;Neoplasia maligna do assoalho da boca, não especificado;CR Tumores da Cabeça e Pescoço
C05;Neoplasia maligna do palato;CR Tumores da Cabeça e Pescoço
C050;Neoplasia maligna do palato duro;CR Tumores da Cabeça e Pescoço
C051;Neoplasia maligna do palato mole;CR Tumores da Cabeça e Pescoço
C052;Neoplasia maligna da úvula;CR Tumores da Cabeça e Pescoço
C058;Neoplasia maligna do palato com lesão invasiva;CR Tumores da Cabeça e Pescoço
C059;Neoplasia maligna do palato, não especificado;CR Tumores da Cabeça e Pescoço
C06;Neoplasia maligna de outras partes e de partes não especificadas da boca;CR Tumores da Cabeça e Pescoço
C060;Neoplasia maligna da mucosa oral;CR Tumores da Cabeça e Pescoço
C061;Neoplasia maligna do vestíbulo da boca;CR Tumores da Cabeça e Pescoço
C062;Neoplasia maligna da área retromolar;CR Tumores da Cabeça e Pescoço
C068;Neoplasia maligna de outras partes e de partes não especificadas da boca com lesão invasiva;CR Tumores da Cabeça e Pescoço
C069;Neoplasia maligna da boca, não especificada;CR Tumores da Cabeça e Pescoço
C07;Neoplasia maligna da glândula parótida;CR Tumores da Cabeça e Pescoço
C08;Neoplasia maligna de outras glândulas salivares maiores e as não especificadas;CR Tumores da Cabeça e Pescoço
C080;Neoplasia maligna da glândula submandibular;CR Tumores da Cabeça e Pescoço
C081;Neoplasia maligna da glândula sublingual;CR Tumores da Cabeça e Pescoço
C088;Neoplasia maligna das glândulas salivares maiores com lesão invasiva;CR Tumores da Cabeça e Pescoço
C089;Neoplasia maligna da glândula salivar maior, não especificada;CR Tumores da Cabeça e Pescoço
C09;Neoplasia maligna da amígdala;CR Tumores da Cabeça e Pescoço
C090;Neoplasia maligna da fossa amigdaliana;CR Tumores da Cabeça e Pescoço
C091;Neoplasia maligna do pilar amigdaliano (anterior) (posterior);CR Tumores da Cabeça e Pescoço
C098;Neoplasia maligna da amígdala com lesão invasiva;CR Tumores da Cabeça e Pescoço
C099;Neoplasia maligna da amígdala, não especificada;CR Tumores da Cabeça e Pescoço
C10;Neoplasia maligna da orofaringe;CR Tumores da Cabeça e Pescoço
C100;Neoplasia maligna da valécula;CR Tumores da Cabeça e Pescoço
C101;Neoplasia maligna da face anterior da epiglote;CR Tumores da Cabeça e Pescoço
C102;Neoplasia maligna da parede lateral da orofaringe;CR Tumores da Cabeça e Pescoço
C103;Neoplasia maligna da parede posterior da orofaringe;CR Tumores da Cabeça e Pescoço
C104;Neoplasia maligna da fenda branquial;CR Tumores da Cabeça e Pescoço
C108;Neoplasia maligna da orofaringe com lesão invasiva;CR Tumores da Cabeça e Pescoço
C109;Neoplasia maligna da orofaringe, não especificada;CR Tumores da Cabeça e Pescoço
C11;Neoplasia maligna da nasofaringe;CR Tumores da Cabeça e Pescoço
C110;Neoplasia maligna da parede superior da nasofaringe;CR Tumores da Cabeça e Pescoço
C111;Neoplasia maligna da parede posterior da nasofaringe;CR Tumores da Cabeça e Pescoço
C112;Neoplasia maligna da parede lateral da nasofaringe;CR Tumores da Cabeça e Pescoço
C113;Neoplasia maligna da parede anterior da nasofaringe;CR Tumores da Cabeça e Pescoço
C118;Neoplasia maligna da nasofaringe com lesão invasiva;CR Tumores da Cabeça e Pescoço
C119;Neoplasia maligna da nasofaringe, não especificada;CR Tumores da Cabeça e Pescoço
C12;Neoplasia maligna do seio piriforme;CR Tumores da Cabeça e Pescoço
C13;Neoplasia maligna da hipofaringe;CR Tumores da Cabeça e Pescoço
C130;Neoplasia maligna da região pós-cricóidea;CR Tumores da Cabeça e Pescoço
C131;Neoplasia maligna da prega ariepiglótica, face hipofaríngea;CR Tumores da Cabeça e Pescoço
C132;Neoplasia maligna da parede posterior da hipofaringe;CR Tumores da Cabeça e Pescoço
C138;Neoplasia maligna da hipofaringe com lesão invasiva;CR Tumores da Cabeça e Pescoço
C139;Neoplasia maligna da hipofaringe, não especificada;CR Tumores da Cabeça e Pescoço
C14;Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe;CR Tumores da Cabeça e Pescoço
C140;Neoplasia maligna da faringe, não especificada;CR Tumores da Cabeça e Pescoço
C142;Neoplasia maligna do anel de Waldeyer;CR Tumores da Cabeça e Pescoço
C148;Neoplasia maligna do lábio, cavidade oral e faringe com lesão invasiva;CR Tumores da Cabeça e Pescoço
C15;Neoplasia maligna do esôfago;CR Tumores do Aparelho Digestivo Alto
C150;Neoplasia maligna da porção cervical do esôfago (esôfago cervical);CR Tumores do Aparelho Digestivo Alto
C151;Neoplasia maligna da porção torácica do esôfago (esôfago torácico);CR Tumores do Aparelho Digestivo Alto
C152;Neoplasia maligna da porção abdominal do esôfago (esôfago abdominal);CR Tumores do Aparelho Digestivo Alto
C153;Neoplasia maligna do terço superior do esôfago;CR Tumores do Aparelho Digestivo Alto
C154;Neoplasia maligna do terço médio do esôfago;CR Tumores do Aparelho Digestivo Alto
C155;Neoplasia maligna do terço inferior do esôfago;CR Tumores do Aparelho Digestivo Alto
C158;Neoplasia maligna do esôfago com lesão invasiva;CR Tumores do Aparelho Digestivo Alto
C159;Neoplasia maligna do esôfago, não especificado;CR Tumores do Aparelho Digestivo Alto
C16;Neoplasia maligna do estômago;CR Tumores do Aparelho Digestivo Alto
C160;Neoplasia maligna da cárdia;CR Tumores do Aparelho Digestivo Alto
C161;Neoplasia maligna do fundo do estômago;CR Tumores do Aparelho Digestivo Alto
C162;Neoplasia maligna do corpo do estômago;CR Tumores do Aparelho Digestivo Alto
C163;Neoplasia maligna do antro pilórico;CR Tumores do Aparelho Digestivo Alto
C164;Neoplasia maligna do piloro;CR Tumores do Aparelho Digestivo Alto
C165;Neoplasia maligna da pequena curvatura do estômago, não especificada;CR Tumores do Aparelho Digestivo Alto
C166;Neoplasia maligna da grande curvatura do estômago, não especificada;CR Tumores do Aparelho Digestivo Alto
C168;Neoplasia maligna do estômago com lesão invasiva;CR Tumores do Aparelho Digestivo Alto
C169;Neoplasia maligna do estômago, não especificado;CR Tumores do Aparelho Digestivo Alto
C17;Neoplasia maligna do intestino delgado;CR Tumores do Aparelho Digestivo Alto
C170;Neoplasia maligna do duodeno;CR Tumores do Aparelho Digestivo Alto
C171;Neoplasia maligna do jejuno;CR Tumores do Aparelho Digestivo Alto
C172;Neoplasia maligna do íleo;CR Tumores do Aparelho Digestivo Alto
