SNOMED;Diagnóstico;Topografia;DesProcedimento;CID_Preditos;Metodo_Utilizado;Status_Regra;CID;Descrição CID;Classificação Final (2025)
M-95800;Abrikossoff tumour;tumor de células granulares;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-72160;Acantholytic acanthoma;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-80753;Acantholytic squamous cell carcinoma;Nenhuma_topografia_encontrada;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-72160;Acanthoma, acantholytic;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-72162;Acanthoma, clear cell;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-72162;Acanthoma, Degos;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-72160;Acanthoma, epidermolytic;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-72160;Acanthoma, large cell;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-72160;Acanthoma, NOS;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-72162;Acanthoma, pale cell;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-85503;Acinar adenocarcinoma;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-81403;Acinar adenocarcinoma of prostate;próstata;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Urológicos;C61;Neoplasia maligna da próstata;CR Tumores Urológicos
M-85503;Acinar cell carcinoma;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-85513;Acinar cell cystadenocarcinoma;pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-85510;Acinar cell cystadenoma;mama;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-81403;Acinar prostatic adenocarcinoma;próstata;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Urológicos;C61;Neoplasia maligna da próstata;CR Tumores Urológicos
M-85503;Acinic cell carcinoma;glândula salivar;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de cabeça e pescoço;C08;Neoplasia maligna de outras glândulas salivares maiores e as não especificadas;CR Tumores da Cabeça e Pescoço
M-85503;Acinic cell carcinoma;glândula salivar;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de cabeça e pescoço;C080;Neoplasia maligna da glândula submandibular;CR Tumores da Cabeça e Pescoço
M-85503;Acinic cell carcinoma;glândula salivar;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de cabeça e pescoço;C081;Neoplasia maligna da glândula sublingual;CR Tumores da Cabeça e Pescoço
M-85503;Acinic cell carcinoma;glândula salivar;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de cabeça e pescoço;C088;Neoplasia maligna das glândulas salivares maiores com lesão invasiva;CR Tumores da Cabeça e Pescoço
M-85503;Acinic cell carcinoma;glândula salivar;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de cabeça e pescoço;C089;Neoplasia maligna da glândula salivar maior, não especificada;CR Tumores da Cabeça e Pescoço
M-95600;Acousticus neurinoma;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-83163;Acquired cystic disease - associated renal cell carcinoma;Nenhuma_topografia_encontrada;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-88110;Acral fibromyxoma;Muitas_topografias_possiveis;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-87443;Acral-lentiginous melanoma;Muitas_topografias_possiveis;Não informado;Nenhum_CID_encontrado;REGRA;Tumores cutâneos;;;
M-82720;ACTH producing adenoma;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-72160;Actinic (solar) lentigo;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-72850;Actinic keratosis;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;BENIGNO;;;
M-98703;Acute basophilic leukaemia;Tecido hematolinfático;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C91;Leucemia linfóide;CR Neoplasias Hematológicas
M-98403;Acute erythroid leukaemia;Muitas_topografias_possiveis;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C92;Leucemia mielóide;CR Neoplasias Hematológicas
M-98053;Acute leukaemia, ambiguous lineage;Muitas_topografias_possiveis;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-98013;Acute leukaemia, NOS;Tumores hematolinfóides da pleura e pericárdio: Introdução;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C96;Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos;CR Neoplasias Hematológicas
M-98353;Acute lymphoblastic leukaemia/lymphoma, NOS;Tecido hematolinfático;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C91;Leucemia linfóide;CR Neoplasias Hematológicas
M-99103;Acute megakaryoblastic leukaemia;Tumor hematolinfóide;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C94;Outras leucemias de células de tipo especificado;CR Neoplasias Hematológicas
M-99103;Acute megakaryoblastic leukaemia;tecido hematolinfático;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C94;Outras leucemias de células de tipo especificado;CR Neoplasias Hematológicas
M-98053;Acute mixed lineage leukaemia;Tumor hematolinfóide;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C94;Outras leucemias de células de tipo especificado;CR Neoplasias Hematológicas
M-98913;Acute monoblastic and monocytic leukaemia;Tumor hematolinfóide;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C931;Leucemia monocítica crônica;CR Neoplasias Hematológicas
M-98913;Acute monoblastic and monocytic leukaemia;tecido hematolinfático;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C931;Leucemia monocítica crônica;CR Neoplasias Hematológicas
M-99313;Acute myelofibrosis;Nenhuma_topografia_encontrada;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-98613;Acute myeloid leukaemia, NOS;Tecido hematolinfático;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C92;Leucemia mielóide;CR Neoplasias Hematológicas
M-98673;Acute myelomonocytic leukaemia;tecido hematolinfático;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C921;Leucemia mielóide crônica;CR Neoplasias Hematológicas
M-99313;Acute panmyelosis with myelofibrosis;Nenhuma_topografia_encontrada;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-98663;"Acute promyelocytic leukaemia with t(15;17)(q22;q12); PML-RARA";Tecido hematolinfático;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C921;Leucemia mielóide crônica;CR Neoplasias Hematológicas
M-98013;Acute undifferentiated leukaemia;Granulomatose linfomatoide do pulmão;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;;;
M-98013;Acute undifferentiated leukaemia;Tumores hematolinfóides do pulmão: Introdução;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;C94;Outras leucemias de células de tipo especificado;CR Neoplasias Hematológicas
M-98013;Acute undifferentiated leukaemia;Linfoma intravascular de grandes células B do pulmão;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;;;
M-98013;Acute undifferentiated leukaemia;Linfoma difuso de grandes células B do pulmão;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;;;
M-98013;Acute undifferentiated leukaemia;Linfoma MALT do pulmão;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Pulmão e Tórax;;;
M-98013;Acute undifferentiated leukaemia;Doença de Erdheim-Chester pulmonar;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C94;Outras leucemias de células de tipo especificado;CR Neoplasias Hematológicas
M-98013;Acute undifferentiated leukaemia;Histiocitose de células de Langerhans pulmonar;Não informado;Nenhum_CID_encontrado;REGRA;Neoplasias Hematológicas;C96;Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos;CR Neoplasias Hematológicas
M-92613;Adamantinoma;Nenhuma_topografia_encontrada;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-93511;Adamantinomatous craniopharyngioma;Nenhuma_topografia_encontrada;Não informado;ERRO_PROCESSAMENTO;ERRO_RAG;INDET;;;
M-83813;Adenocarcinofibroma, endometrioid;Nenhuma_topografia_encontrada;Não informado;Nenhum_CID_encontrado;REGRA;Tumores Ginecológicos;;;
M-82133;Adenocarcinoma in serrated adenoma;mama;Não informado;Nenhum_CID_encontrado;REGRA;Tumores de Mama;C50;Neoplasia maligna da mama;CR Tumores da Mama
M-82502;Adenocarcinoma in situ (= formerly BAC in situ);pulmao_maligno;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;C34;Neoplasia maligna do brônquio e do pulmão;CR Tumores do Pulmão e Tórax
M-82132;Adenocarcinoma in situ in serrated adenoma;topografia: intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
M-82102;Adenocarcinoma in situ in tubular adenoma or in adenomatous polyp;topografia: intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;D010;Carcinoma in situ do cólon;CR Tumores Colorretais
M-82632;Adenocarcinoma in situ in tubulovillous adenoma;intestino_delgado_ampula;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;D010;Carcinoma in situ do cólon;CR Tumores Colorretais
M-82632;Adenocarcinoma in situ in tubulovillous adenoma;intestino_delgado_ampula_maligno;Não informado;Nenhum_CID_encontrado;REGRA;IN SITU;;;
