SNOMED;Diagnóstico;Topografia;CID
M-90100;Alteração Fibroadenomatoide;Mama esquerda - 01 Hora(Mamotomia);
M-40000;Gastrite;Antro gástrico;K29
M-71600;Bócio;Tireoide;D34
M-82110;ADENOMA SERRILHADO;Cólon ascendente;D12
M-82110;ADENOMA SERRILHADO;Pólipo de cólon sigmoide;D12
M-82110;ADENOMA SERRILHADO;Pólipo de cólon sigmoide;D129
M-82110;ADENOMA SERRILHADO;Pólipo de reto;D12
M-82110;ADENOMA SERRILHADO;Pólipo de reto;D129
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C180
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C181
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C182
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C183
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C184
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C185
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C186
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C187
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C188
M-82103;Adenocarcinoma Em Adenoma;Cólon ascendente;C189
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C185
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C188
M-82103;Adenocarcinoma Em Adenoma;Pólipo de cólon sigmoide;C189
M-82103;Adenocarcinoma Em Adenoma;Pólipo de reto;C20
M-82613;Adenocarcinoma Em Adenoma Viloso;Cólon ascendente;C180
M-82613;Adenocarcinoma Em Adenoma Viloso;Pólipo de cólon sigmoide;C187
M-82613;Adenocarcinoma Em Adenoma Viloso;Pólipo de cólon sigmoide;C188
M-82613;Adenocarcinoma Em Adenoma Viloso;Pólipo de cólon sigmoide;C189
M-82613;Adenocarcinoma Em Adenoma Viloso;Pólipo de reto;C209
M-40000;Gastrite;Estômago;
M-82110;Adenoma Tubular;Cólon ascendente;D12
M-82110;Adenoma Tubular;Pólipo de cólon sigmoide;D12
M-82110;Adenoma Tubular;Pólipo de cólon sigmoide;D129
M-82110;Adenoma Tubular;Pólipo de reto;D12
M-82110;Adenoma Tubular;Pólipo de reto;D129
M-82113;Adenocarcinoma Tubular Moderadamente Diferenciado, Oms 2010;Pólipo de reto;C209
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D12
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D121
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D122
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D123
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D124
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D125
M-72040;Pólipo Hiperplásico;Pólipo de cólon transverso;D126
