SNOMED;Diagnóstico;
M-95800;Abrikossoff tumour;
M-72160;Acantholytic acanthoma;
M-80753;Acantholytic squamous cell carcinoma;
M-72160;Acanthoma, acantholytic;
M-72162;Acanthoma, clear cell;
M-72162;Acanthoma, Degos;
M-72160;Acanthoma, epidermolytic;
M-72160;Acanthoma, large cell;
M-72160;Acanthoma, NOS;
M-72162;Acanthoma, pale cell;
M-85503;Acinar adenocarcinoma;
M-81403;Acinar adenocarcinoma of prostate;
M-85503;Acinar cell carcinoma;
M-85513;Acinar cell cystadenocarcinoma;
M-85510;Acinar cell cystadenoma;
M-81403;Acinar prostatic adenocarcinoma;
M-85503;Acinic cell carcinoma;
M-85503;Acinic cell carcinoma;
M-85503;Acinic cell carcinoma;
M-85503;Acinic cell carcinoma;
M-85503;Acinic cell carcinoma;
M-95600;Acousticus neurinoma;
M-83163;Acquired cystic disease - associated renal cell carcinoma;
M-88110;Acral fibromyxoma;
M-87443;Acral-lentiginous melanoma;
M-82720;ACTH producing adenoma;
M-72160;Actinic (solar) lentigo;
M-72850;Actinic keratosis;
M-98703;Acute basophilic leukaemia;
M-98403;Acute erythroid leukaemia;
M-98053;Acute leukaemia, ambiguous lineage;
M-98013;Acute leukaemia, NOS;
M-98353;Acute lymphoblastic leukaemia/lymphoma, NOS;
M-99103;Acute megakaryoblastic leukaemia;
M-99103;Acute megakaryoblastic leukaemia;
M-98053;Acute mixed lineage leukaemia;
M-98913;Acute monoblastic and monocytic leukaemia;
M-98913;Acute monoblastic and monocytic leukaemia;
M-99313;Acute myelofibrosis;
M-98613;Acute myeloid leukaemia, NOS;
M-98673;Acute myelomonocytic leukaemia;
M-99313;Acute panmyelosis with myelofibrosis;
M-98663;"Acute promyelocytic leukaemia with t(15;17)(q22;q12); PML-RARA";
M-98013;Acute undifferentiated leukaemia;
M-98013;Acute undifferentiated leukaemia;
M-98013;Acute undifferentiated leukaemia;
M-98013;Acute undifferentiated leukaemia;
M-98013;Acute undifferentiated leukaemia;
M-98013;Acute undifferentiated leukaemia;
M-98013;Acute undifferentiated leukaemia;
M-92613;Adamantinoma;
M-93511;Adamantinomatous craniopharyngioma;
M-83813;Adenocarcinofibroma, endometrioid;
M-82133;Adenocarcinoma in serrated adenoma;
M-82502;Adenocarcinoma in situ (= formerly BAC in situ);
M-82132;Adenocarcinoma in situ in serrated adenoma;
M-82102;Adenocarcinoma in situ in tubular adenoma or in adenomatous polyp;
M-82632;Adenocarcinoma in situ in tubulovillous adenoma;
M-82632;Adenocarcinoma in situ in tubulovillous adenoma;
M-82612;Adenocarcinoma in situ in villous adenoma;
M-82612;Adenocarcinoma in situ in villous adenoma;
M-82612;Adenocarcinoma in situ in villous adenoma;
M-82612;Adenocarcinoma in situ in villous adenoma;
M-82532;Adenocarcinoma in situ, mucinous (= formerly mucinous BAC in situ);
M-82522;Adenocarcinoma in situ, non-mucinous (= formerly non-mucinous BAC in situ);
M-81402;Adenocarcinoma in situ, NOS;
M-82103;Adenocarcinoma in tubular adenoma or in adenomatous polyp;
M-82633;Adenocarcinoma in tubulovillous adenoma;
M-82633;Adenocarcinoma in tubulovillous adenoma;
M-82613;Adenocarcinoma in villous adenoma;
M-81402;Adenocarcinoma intramucosal of colorectum (in situ);
M-81402;Adenocarcinoma intramucosal of colorectum (in situ);
M-81402;Adenocarcinoma intramucosal of colorectum (in situ);
M-91103;Adenocarcinoma of rete ovarii;
M-85743;Adenocarcinoma with neuroendocrine differentiation;
M-82533;Adenocarcinoma, (lepidic) invasive mucinous (formerly mucinous BAC);
M-82523;Adenocarcinoma, (lepidic) non-mucinous (formerly non-mucinous BAC);
M-82603;Adenocarcinoma, (Paneth cell-rich) papillary;
M-85503;Adenocarcinoma, acinar;
M-81403;Adenocarcinoma, acinar prostatic;
M-81473;Adenocarcinoma, basal cell;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-81403;Adenocarcinoma, biliary type;
M-84203;Adenocarcinoma, ceruminous;
M-83103;Adenocarcinoma, clear cell;
M-84803;Adenocarcinoma, colloid;
M-84803;Adenocarcinoma, colloid (formerly mucinous cystadenocarcinoma of lung);
M-82013;Adenocarcinoma, cribriform;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform comedo-type;
M-82013;Adenocarcinoma, cribriform ductal;
M-81453;Adenocarcinoma, diffuse type;
M-85003;Adenocarcinoma, ductal;
M-82013;Adenocarcinoma, ductal cribriform;
M-82303;Adenocarcinoma, ductal solid;
M-83843;Adenocarcinoma, endocervical, usual type;
M-85703;Adenocarcinoma, endometrioid with squamous differentiation;
M-83803;Adenocarcinoma, endometrioid, NOS;
M-83823;Adenocarcinoma, endometrioid, secretory;
M-82633;Adenocarcinoma, endometrioid, villoglandular;
M-82623;Adenocarcinoma, endometrioid, villous;
M-81443;Adenocarcinoma, enteric;
M-81443;Adenocarcinoma, enteric;
M-83333;Adenocarcinoma, fetal;
M-81403;Adenocarcinoma, gastric foveolar type;
M-85763;Adenocarcinoma, hepatoid;
M-81443;Adenocarcinoma, intestinal type;
M-81443;Adenocarcinoma, intestinal type;
M-82503;Adenocarcinoma, lepidic (predominant) (formerly Bronchioloalveolar carcinoma (BAC));
M-85003;Adenocarcinoma, mammary gland type;
M-82653;Adenocarcinoma, micropapillary of colorectum;
M-82653;Adenocarcinoma, micropapillary of colorectum;
M-82653;Adenocarcinoma, micropapillary of colorectum;
M-82653;Adenocarcinoma, micropapillary of colorectum;
M-82653;Adenocarcinoma, micropapillary of lung;
M-82573;Adenocarcinoma, minimally invasive mucinous (mucinous MIA) of lung;
M-82503;Adenocarcinoma, minimally invasive non-mucinous (non-mucinous MIA) of lung;
M-83233;Adenocarcinoma, mixed cell of uterus;
M-82543;Adenocarcinoma, mixed mucinous and non-mucinous;
M-82553;Adenocarcinoma, mixed type;
M-84803;Adenocarcinoma, mucinous;
M-84823;Adenocarcinoma, mucinous, endocervical type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-84823;Adenocarcinoma, mucinous, gastric type;
M-81443;Adenocarcinoma, mucinous, intestinal type;
M-84903;Adenocarcinoma, mucinous, signet-ring cell type;
M-84813;Adenocarcinoma, mucin-producing;
M-81403;Adenocarcinoma, non-intestinal type;
M-82523;Adenocarcinoma, non-mucinous (lepidic) (formerly non-mucinous BAC);
M-81403;Adenocarcinoma, NOS;
M-82903;Adenocarcinoma, oncocytic;
M-82903;Adenocarcinoma, oncocytic;
M-82903;Adenocarcinoma, oncocytic;
M-82903;Adenocarcinoma, oncocytic;
M-82903;Adenocarcinoma, oncocytic;
M-81633;Adenocarcinoma, pancreatobiliary type;
M-82603;Adenocarcinoma, papillary;
M-85033;Adenocarcinoma, papillary ductal;
M-85253;Adenocarcinoma, polymorphous low-grade;
